Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
ADSS1	3	autosomal recessive	"ORPHA:482601,OMIM:617030 	Myopathy, distal, 5 Adenylosuccinate synthetase-like 1-related distal myopathy"	progressive muscle disorder					
AEBP1	3	autosomal recessive	"ORPHA:536532,OMIM:618000 	Ehlers-Danlos syndrome, classic-like, 2"	non-neurological					
AGGF1	3	?	ORPHA:90308 Klippel-Trénaunay syndrome	mostly non-neurological symptoms					
AGK	3	autosomal recessive	OMIM:614691,ORPHA:1369,OMIM:212350	neurological symptoms not severe enough					
AGL	3	biallelic, autosomal recessive	Glycogen sorage disease IIIa/b	predominantly extraneuronal symptoms					
AGPAT2	3	autosomal recessive	OMIM:608594,ORPHA:528 Lipodystrophy, congenital generalized, type 1	predominantly non-neurological					
AGPS	3	BIALLELIC, autosomal or pseudoautosomal	Rhizomelic chondrodysplasia punctata, type 3, 600121	predominantly non-neurological					
AGRN	3	autosomal recessive	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects OMIM:615120,ORPHA:98913,ORPHA:98914	mainly non-neuronal phenotype, not progressive					
AGT	3		OMIM:145500,OMIM:267430	non-neuronal phenotype					
AGTR1	3	autosomal recessive	Renal tubular dysgenesis OMIM:145500,OMIM:267430	non-neuronal phenotype					
AIP	3	autosomal dominant	OMIM:102200,ORPHA:2965,ORPHA:963,ORPHA:99725,OMIM:219090	non-neuronal phenotype					
AIPL1	3	BIALLELIC, autosomal or pseudoautosomal	Leber congenital amaurosis 4, 604393;Retinitis pigmentosa, juvenile, 604393;Cone-rod dystrophy, 604393	congenital					
AIRE	3	BIALLELIC, autosomal or pseudoautosomal	Autoimmune polyendocrinopathy syndrome , type I, with or without,reversible metaphyseal dysplasia, 240300	no neurological features					
AK1	3	autosomal recessive	Hemolytic anemia due to adenylate kinase deficiency						
AK2	3	BIALLELIC, autosomal or pseudoautosomal	NA						
AK7	3		Spermatogenic failure 27	no neurological phenotype					
AK9	3	autosomal recessive	Postsynaptic congenital myasthenic syndromes ORPHA:98913	mainly non-neuronal phenotype					
AKAP9	3	autosomal dominant	long QT syndrome ORPHA:130,ORPHA:101016,OMIM:611820	non-neuronal phenotype					
AKR1D1	3	BIALLELIC, autosomal or pseudoautosomal	Bile acid synthesis defect, congenital, 2, 235555	no neurological features					
AKT1	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cowden syndrome 6 OMIM:164730	cancer syndrome					
AKT2	3	autosomal dominant	OMIM:125853,OMIM:240900,ORPHA:293964,ORPHA:79085	seizures due to hypglycemia					
ALAD	3	BIALLELIC, autosomal or pseudoautosomal	Porphyria, acute hepatic, 612740; {Lead poisoning, susceptibility to}, 612740	no neurological features					
ALAS2	3	x-linked	Anemia, sideroblastic, 1, Protoporphyria, erythropoietic, X-linked	no neurological features					
ALB	3		ORPHA:86816,OMIM:616000,OMIM:615999						
ALDH1A2	3	autosomal recessive	OMIM:620025	non-neuronal phenotype					
ALDH1A3	3	autosomal recessive	Microphthalmia, isolated 8 OMIM:615113,ORPHA:35612	congenital					
ALDOA	3	BIALLELIC, autosomal or pseudoautosomal	Gene2Phenotype confirmed gene with ID HPO	mostly non-neurological symptoms					
ALDOB	3	autosomal recessive	Fructose intolerance, hereditary	can be treated with dietary restrictions					
ALG14	3	autosomal recessive	Myopathy, epilepsy, and progressive cerebral atrophy	die within first year of life, in case patients life longer, than eligible					
ALG5	3	autosomal dominant	ORPHA:730	kidney disease					
ALG8	3	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ih 608104	no CNS abnormalities					
ALK	3		"	{Neuroblastoma, susceptibility to, 3} ORPHA:635"						
ALKBH8	3	BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder, autosomal recessive 71, OMIM:618504	mild phenotype					
ALOX12B	3	autosomal recessive	Ichthyosis, congenital, autosomal recessive 2 ORPHA:281122,ORPHA:313,ORPHA:79394,OMIM:242100	non-neuronal phenotype					
ALOX5AP	3		Stroke, susceptibility to OMIM:601367						
ALOXE3	3	autosomal recessive	Ichthyosis, congenital, autosomal recessive 3 ORPHA:281122,ORPHA:313,ORPHA:79394,OMIM:606545,OMIM:242100						
ALPK3	3	autosomal recessive	Cardiomyopathy, familial hypertrophic 27 OMIM:618052	non-neuronal phenotype					
ALPL	3	BIALLELIC, autosomal or pseudoautosomal	"Hypophosphatasia, adult 146300 AD, AR;Hypophosphatasia, childhood 241510 AR;Hypophosphatasia, infantile 241500 AR;Odontohypophosphatasia	146300 AD, AR"	seizures reported, severe non-neuronal phenotype					
ALX1	3	autosomal recessive	OMIM:613456,ORPHA:306542	delayed myelination					
ALX3	3	BIALLELIC, autosomal or pseudoautosomal	Frontonasal dysplasia 1, Gene2Phenotype confirmed gene with ID HPO	neuronal phenotype mild					
ALX4	3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Parietal foramina;Parietal foramina 2, (AD), 609597;Frontonasal dysplasia 2, (AR), 613451	neuronal phenotype mild					
AMELX	3	X-linked	"	Amelogenesis imperfecta, type 1E"	non neurological					
AMH	3	autosomal recessive	Persistent Mullerian duct syndrome, type I	no neuronal phenotype					
AMHR2	3	autosomal recessive	Persistent Mullerian duct syndrome	no neuronal phenotype					
AMMECR1	3	X-linked recessive	Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome, OMIM:300990,ORPHA:86818	mild neuronal phenotype					
AMPD1	3	autosomal recessive	Myopathy due to myoadenylate deaminase deficiency ORPHA:45,OMIM:615511	non-neuronal phenotype					
ANAPC1	3	autosomal recessive	Rothmund-Thomson syndrome, type 1 ORPHA:221008,OMIM:618625	neuronal phenotype mild					
ANAPC7	3	autosomal recessive	Ferguson-Bonni neurodevelopmental syndrome OMIM:619699	no treatable symptoms					
ANK1	3	autosomal dominant and recessive	"	Spherocytosis, type 1 OMIM:182900,ORPHA:251066,ORPHA:822"	not neuronal					
ANKFY1	3	autosomal dominant or recessive 	Genetic steroid-resistant nephrotic syndrome ORPHA:656						
ANKH	3	autosomal dominant	ORPHA:1522,OMIM:123000,ORPHA:1416,OMIM:118600						
ANKRD26	3	autosomal dominant	Thrombocytopenia 2	not neurological					
ANKS6	3	autosomal recessive	Nephronophthisis 16	progressive renal disorder					
ANLN	3	autosomal dominant	Focal segmental glomerulosclerosis 8 OMIM:616032,ORPHA:656	renal disease					
ANO3	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 24, 615034;familial form of cranio-cervical dystonia						
ANO5	3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Gnathodiaphyseal dysplasia, 166260; Muscular dystrophy, limb-girdle, type 2L, 611307; Miyoshi muscular dystrophy 3, 613319	muscle disorder					
ANO6	3	autosomal recessive	"	Scott syndrome"	not neurological					
ANOS1	3	x-linked recessive	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1) ORPHA:478,OMIM:308700	neuronal phenotype not severe enough					
ANTXR2	3	autosomal recessive	Hyaline fibromatosis syndrome	normal intelligence, progressive disorder					
AP1B1	3	BIALLELIC, autosomal or pseudoautosomal	Failure to thrive;Abnormality of the skin;Hearing abnormality;Abnormality of copper homeostasis;Global developmental delay;Intellectual disability						
AP3B1	3	BIALLELIC, autosomal or pseudoautosomal	Hermansky-Pudlak syndrome 2 608233	mild neurological phenotype					
APC	3		ORPHA:99818,OMIM:619182,ORPHA:247806,OMIM:135290,OMIM:114550,ORPHA:873,OMIM:613659,OMIM:175100,OMIM:114500,ORPHA:79665,ORPHA:3258,ORPHA:261584	no neurological phenotype					
APOA1	3		OMIM:619836,ORPHA:425,OMIM:105200,OMIM:618463	no neurological phenotype					
APOA2	3		HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1	no neurological phenotype					
APOA5	3		OMIM:144650,OMIM:145750						
APOC2	3	autosomal recessive	Hyperlipoproteinemia, type Ib	non-neurological phenotype					
APOL1	3	autosomal dominant and recessive	Genetic steroid-resistant nephrotic syndrome OMIM:612551,ORPHA:656	no neurological phenotype					
APP	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dementia ;Clinical syndrome Alzheimer disease						
AQP2	3	autosomal dominant and recessive	Diabetes insipidus, nephrogenic, 2 ORPHA:223,OMIM:125800	diabetes					
AR_CAG	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Spinal and bulbar muscular atrophy of Kennedy, OMIM:313200						
ARHGAP24	3	autosomal dominant and recessive	Genetic steroid-resistant nephrotic syndrome ORPHA:656	abnomrality of the CNS described but mainly non-neuronal					
ARHGAP29	3	multigenic	Cleft lip/palate ORPHA:199306	non-neuronal					
ARHGDIA	3	autosomal recessive	Genetic steroid-resistant nephrotic syndrome OMIM:615244,ORPHA:656						
ARHGEF10	3	autsomal dominant	Slowed nerve conduction velocity OMIM:608236	phenotype not severe enough					
ARHGEF6	3	x-linked	X-linked non-syndromic intellectual disability ORPHA:777	severity of phenotype?					
ARL14EP	3	BIALLELIC, autosomal or pseudoautosomal	AUTOSOMAL RECESSIVE MENTAL RETARDATION	phenotypic information missing					
ARMC4	3	BIALLELIC, autosomal or pseudoautosomal	Ciliary dyskinesia, primary, 23, 615451 	mainly extraneuronla, neuronal phenotype not severe enough					
ARMC5	3	autosomal dominant	"	ACTH-independent macronodular adrenal hyperplasia 2 OMIM:615954,ORPHA:189427"	neuronal phenotype not severe enough					
ARPC1B	3	autosomal recessive	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia	not neurological					
ARSB	3	autosomal recessive	Mucopolysaccharidosis type VI (Maroteaux-Lamy)	progressive disease, occasional cognitive impairment					
ARSE	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	CHONDRODYSPLASIA PUNCTATA 1, X-LINKED	neuronal phenotype too mild					
ARSL	3	x-linked	Chondrodysplasia punctata, X-linked recessive OMIM:302950,ORPHA:79345	neuronal phenotype too mild					
ASCC1	3	autosomal recessive	OMIM:616867,OMIM:614266 Spinal muscular atrophy with congenital bone fractures 2	death in first days or months					
ASPM	3	BIALLELIC, autosomal or pseudoautosomal	Microcephaly 5, primary, autosomal recessive, 608716;PRIMARY AUTOSOMAL RECESSIVE MICROCEPHALY	not know whether progressive, milder phenotype, onset at birth					
ASPRV1	3	autosomal dominant	ORPHA:313,OMIM:146750 Lamellar ichthyosis	mainly extraneuronal phenotype, occasionaly cognitive impairment					
ASXL1	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Bohring-Opitz syndrome, 605039Myelodysplastic syndrome, somatic, 614286;BOHRING-OPITZ SYNDROME	progressive? Severe malformations, death often in childhood					
ASXL3	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Bainbridge-Ropers syndrome, OMIM:615485	progressive? Rare described seizures. Treatable phenotype?					
ATF6	3	autosomal recessive	"ORPHA:49382,ORPHA:1872,OMIM:616517 	Achromatopsia 7"	non-progressive in most patients					
ATG5	3	autosomal recessive	OMIM:617584  Spinocerebellar ataxia, autosomal recessive 25	non-progressive					
ATN1_CAG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dentatorubral-pallidoluysian atrophy, OMIM:125370						
ATOH1	3	autosomal dominant	Deafness, autosomal dominant 89	non-progressive deafness					
ATP1A3	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorineural hearing loss (CAPOS, #601338);Alternating hemiplegia of childhood 2 (#614820) and Dystonia 12 (#128235)	mechanisms of mutations not yet defined, ASO approach seems unlikely					
ATP2A1	3	autosomal recessive	OMIM:601003 Brody myopathy	muscle disorder					
ATP2B1	3	autosomal dominant	OMIM:619910,ORPHA:528084 Intellectual developmental disorder, autosomal dominant 66	non-progressive					
ATP2B3	3	X-linked recessive	OMIM:302500,ORPHA:314978 Spinocerebellar ataxia, X-linked 1	non-progressive					
ATP5A1	3	BIALLELIC, autosomal or pseudoautosomal	?Combined oxidative phosphorylation deficiency 22 616045;?Mitochondrial complex (ATP synthase) deficiency, nuclear type 4 615228	progressive disorder, death in first weeks of life					
ATP5F1E	3	autosomal recessive	OMIM:614053 Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3	described as non-progressive					
ATP6AP1	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodeficiency 47, MIM#300972	only in some patient neurological manifestation					
ATP6V0A2	3	BIALLELIC, autosomal or pseudoautosomal	Cutis laxa, autosomal recessive, type IIA 219200;Wrinkly skin syndrome 278250	neurological phenotype described as non-progressive					
ATP6V1B1	3	autosomal recessive	"	Distal renal tubular acidosis 2 with progressive sensorineural hearing loss"	progressive, no administration route for ear					
ATP6V1B2	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	ZIMMERMANN-LABAND SYNDROME	phenotype not severe enough/not treatable					
ATP6V1E1	3	autosomal-recessive	ORPHA:357074,OMIM:617402	severe heart defect					
ATP7B	3	BIALLELIC, autosomal or pseudoautosomal	Dystonia;Wilson Disease	systemic disorder					
ATP8A2	3	BIALLELIC, autosomal or pseudoautosomal	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4  615268  						
ATP8B1	3		OMIM:243300,ORPHA:69665,OMIM:211600,OMIM:147480	mainly extraneuronal manifestation					
ATPAF2	3	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial complex V disorders;General Leukodystrophy & Mitochondrial Leukoencephalopathy						
ATRIP	3	autosomal recessive	ORPHA:808  Seckel syndrome	phenotype not severe enough/not treatable					
ATXN1	3	autosomal dominant	ORPHA:98755,OMIM:164400	repeat expansion disorder					
ATXN1_CAG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinocerebellar ataxia 1, OMIM:164400						
ATXN10	3	autosomal dominant	OMIM:603516,ORPHA:98761	repeat expansion disorder					
ATXN10_ATTCT	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinocerebellar ataxia 10, OMIM:603516						
ATXN2	3	autosomal dominant	ORPHA:803,OMIM:183090,OMIM:168600,ORPHA:98756	repeat expansion disorder					
ATXN2_CAG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinocerebellar ataxia 2, OMIM:183090;{Amyotrophic lateral sclerosis, susceptibility to, 13}, OMIM:183090;{Parkinson disease, late-onset, susceptibility to}, OMIM:168600						
ATXN3	3	autosomal dominant	ORPHA:276241,OMIM:109150,ORPHA:276244,ORPHA:276238	repeat expansion disorder					
ATXN7	3	autosomal dominant	ORPHA:94147,OMIM:164500	repeat expansion disorder					
ATXN7_CAG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinocerebellar ataxia 7, OMIM:164500						
ATXN8	3	autosomal dominant	OMIM:608768,ORPHA:98760	repeat expansion disorder					
ATXN8OS	3	autosomal dominant	OMIM:608768,ORPHA:98760,OMIM:168600	repeat expansion disorder					
AUTS2	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	SYNDROMIC INTELLECTUAL DISABILITY	no treatable symptoms					
AVP	3	autosomal dominant	"ORPHA:30925,OMIM:125700 	Diabetes insipidus, neurohypophyseal"	not neuronal					
AVPR2	3	X-linked recessive	OMIM:304800,ORPHA:223,OMIM:300539	seizures, question if CNS treatment will help					
B2M	3		OMIM:241600,OMIM:105200,ORPHA:314652	not neuronal					
B3GALNT2	3	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies typeA 11;congenital muscular dystrophies	congenital					
B3GALT6	3	BIALLELIC, autosomal or pseudoautosomal	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640; Ehlers-Danlos syndrome, progeroid type, 2, 615349	neurological manifestation not severe enough					
B3GAT3	3		OMIM:245600	neuronal manifestation not treatable					
B3GLCT	3	BIALLELIC, autosomal or pseudoautosomal	Peters-plus syndrome, 261540	neuronal manifestation not treatable					
B4GALT1	3	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type IId, OMIM:607091	neurological manifestation not severe enough					
B4GALT7	3	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, progeroid type, 1, 130070;EHLERS-DANLOS SYNDROME PROGEROID TYPE (EDSP)	neurological manifestation not severe enough					
B4GAT1	3	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, OMIM:615287						
B9D1	3	BIALLELIC, autosomal or pseudoautosomal	Meckel syndrome 9, OMIM:614209;Meckel syndrome 9, MONDO:0013630;Joubert syndrome 27, OMIM:617120;Joubert syndrome 27, MONDO:0014927						
B9D2	3	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 34, OMIM:614175;Meckel syndrome 10, OMIM:614175;Meckel syndrome, type 10, MONDO:0013609	neurological symptoms not treatable					
BAAT	3	autosomal recessive	Bile acid conjugation defect 1	not neurological					
BANF1	3	autosomal recessive	"OMIM:614008 	Nestor-Guillermo progeria syndrome"	neurological manifestation?					
BBIP1	3	autosomal recessive	OMIM:615995,ORPHA:110 Bardet-Biedl syndrome 18 	neuronal manifestation not severe enough					
BCAT2	3	autosomal recessive	OMIM:618850	no treatable symptoms					
BCHE	3	autosomal recessive	ORPHA:132,OMIM:617936						
BCL10	3		OMIM:137245,OMIM:273300,OMIM:616098,OMIM:605027,OMIM:156240,ORPHA:52417	Lymphoma					
BCL11A	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	INTELLECTUAL DISABILITY	no treatable neurological phenotype					
BCL11B	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual disability;Intellectual developmental disorder with dysmorphic facies, speech delay, and T-cell abnormalities, 618092	no treatable neurological phenotype					
BCL2	3		ORPHA:545	Lymphoma					
BCL6	3		ORPHA:545	Lymphoma					
BCOR	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Microphthalmia, syndromic 2, 300166;MICROPHTHALMIA SYNDROMIC TYPE 2 (MCOPS2)	congenital disorder					
BCR	3		ORPHA:261330,OMIM:608232,ORPHA:521,OMIM:613065	Leukemia					
BCS1L	3	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial complex III disorders	systemic					
BGN	3	x-linked	OMIM:300106,OMIM:300989	no treatable neurological phenotype					
BHLHA9	3	autosomal recessive		not neurological					
BICC1	3	autosomal dominant	ORPHA:730,OMIM:601331	polycystic kidney disease					
BIN1	3	autosomal recessve	OMIM:255200,ORPHA:169186,ORPHA:169189 Centronuclear myopathy 2	mainly muscular phenotype					
